Grupo de idade;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Pará;14,6;13,7;16;19,8;30,4;24,7;22,2;18;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Paraíba;20,1;17,6;18,8;22,5;28,6;23,8;28;25,3;30,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Paraná;8,8;6,7;8,4;12,6;16,5;17,6;18,3;17;17,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Pernambuco;18,2;16,2;14,9;24,2;34,2;37,5;33,9;28,4;32,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Piauí;16,2;15,6;13,1;17,3;20;29,1;25,8;25,5;29,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Rio de Janeiro;14,8;16,3;14;20,8;30,7;33,8;33,4;33,2;34,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Rio Grande do Norte;22,7;19,1;24,2;26,7;30,8;26,6;29,9;30;36,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Rio Grande do Sul;9;9,5;10,4;14,9;18,7;17,8;15,6;16;18,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Rondônia;11,2;10;6,4;14,1;16,1;15,1;18,6;21,3;20,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Roraima;18,6;14;15,6;16;21,3;20,3;28,2;30,1;35,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Santa Catarina;5,8;4,4;5,8;8,7;13,3;14,3;11,8;11;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Sergipe;20,5;18,2;19,4;21,8;28,5;25,7;28,8;30,6;31,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;São Paulo;13,8;14,1;15,6;21;27,1;27,6;26,7;24;27,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 a 24 anos;Tocantins;15,2;12,7;12,9;21,8;27,8;23,9;24,4;21,8;22,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Acre;7,5;7,2;5,8;6;11,1;11,3;11,8;12,8;12,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Alagoas;10,9;8,8;9,1;10,9;14,5;16,5;15,7;12,9;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Amapá;11,3;8,1;8,9;12;17,8;16,5;18,6;15;17,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Amazonas;8,8;7,6;7,8;9;15;13,2;14,6;13,6;14,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Bahia;10;8,3;9;12;15,4;14,2;15,7;15,3;16,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Ceará;7,1;6,5;6,3;8,2;11,8;10,8;9,6;9,6;11,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Distrito Federal;8,9;8,3;7,7;9;13;12,5;11;11,5;12,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Espírito Santo;6,2;4,9;6;8;12,5;10,5;8,7;9,4;10,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Goiás;4,9;3,2;4,2;6,9;9,8;8,3;7,4;9,3;9,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Maranhão;7,1;5,4;7,7;7,8;12,2;13,5;13,8;12,6;15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Mato Grosso do Sul;4,4;4,5;3,4;4,9;6,8;5,5;5,8;4,6;6,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Mato Grosso;4,2;3,8;3,9;4,9;8,6;6,8;5,9;5,9;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Minas Gerais;5,4;5,3;5,6;8,2;9,8;8,8;8,1;8,4;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Pará;6,5;5,8;6,9;8,4;11,3;9,4;10,4;9,7;11,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Paraíba;8,6;7,8;8,3;9,4;11,3;10,8;10,2;11,3;12,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 a 39 anos;Paraná;4;3,7;3,3;4,8;7,3;6,6;6,3;5,6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
